Beta Releases, guides/faq.html#how-do-i-update-to-the-latest-beta-release, new-box.svg
Text Sensors, components/text_sensor/index, folder-open.svg
MQTT Subscribe, components/sensor/mqtt_subscribe, mqtt.png

Stepper, components/stepper/index, stepper.svg
CSE7766, components/sensor/cse7766, cse7766.svg
PMSX003, components/sensor/pmsx003, pmsx003.svg
